step,train_loss,valid_loss,total_steps,full_valid_loss,train_mean_token_accuracy,valid_mean_token_accuracy,full_valid_mean_token_accuracy
40,0.31256845593452454,0.7716974110837104,40,0.7984698657331796,0.8897885680198669,0.7731836975782634,0.773474801061008
39,0.40609312057495117,0.8184145788303866,40,,0.858475923538208,0.7693789118921521,
38,0.3764701187610626,0.8141101897767259,40,,0.8650615811347961,0.7693789118921521,
37,0.4025663435459137,0.767407354770577,40,,0.8698453903198242,0.7737743650324868,
36,0.3433707356452942,0.8205954912685676,40,,0.8840042352676392,0.770245950809838,
35,0.44632911682128906,0.7660920446507431,40,,0.8512820601463318,0.776034236804565,
34,0.3615799844264984,0.7595568745360175,40,,0.8839524984359741,0.7755463673951565,
33,0.3812668025493622,0.8043960439051122,40,,0.8811320662498474,0.7698603755416467,
32,0.467296838760376,0.7155329612305927,40,0.7811252432097174,0.848601758480072,0.7847715736040609,0.7721485411140584
31,0.43789786100387573,0.8496146053738064,40,,0.8525787591934204,0.7611111111111111,
30,0.4021448493003845,0.7996738839734904,40,,0.8582195043563843,0.7703418391911411,
29,0.45665252208709717,0.7433732624808783,40,,0.8512277603149414,0.7749556999409333,
28,0.3864738941192627,0.7095665888132783,40,,0.8632664084434509,0.7842639593908629,
27,0.4734809994697571,0.8420694478352865,40,,0.8464611768722534,0.7605555555555555,
26,0.4555557370185852,0.7923959861538648,40,,0.8502753973007202,0.7698603755416467,
25,0.4814091920852661,0.7364258740825619,40,,0.8415551781654358,0.7725930301240401,
24,0.5613316297531128,0.7004042233307349,40,0.765065182045853,0.8087953925132751,0.783248730964467,0.7721485411140584
23,0.5386801362037659,0.8407692019144694,40,,0.8257101774215698,0.7533333333333333,
22,0.5342919826507568,0.8012511225324516,40,,0.8311867713928223,0.7600479904019196,
21,0.5141340494155884,0.7467465303197,40,,0.8167687058448792,0.7741321921065145,
20,0.6122105717658997,0.8045193729961283,40,,0.8018561601638794,0.7630473905218956,
19,0.5471303462982178,0.7466798474887298,40,,0.8189125061035156,0.7741321921065145,
18,0.6418868899345398,0.8419257662031385,40,,0.7956357598304749,0.7561111111111111,
17,0.5533655881881714,0.7188681152266294,40,,0.8116567730903625,0.7802030456852792,
16,0.6674766540527344,0.8474217658572727,40,0.7829626867562454,0.7923650145530701,0.7527777777777778,0.7663129973474802
15,0.6240960955619812,0.726536164065908,40,,0.7971764802932739,0.7786802030456853,
14,0.8179137110710144,0.7472543586870657,40,,0.7497398257255554,0.7649143532191376,
13,0.6764872074127197,0.836750382233768,40,,0.786227285861969,0.7530091478093404,
12,0.7376183271408081,0.7679188993648883,40,,0.7825630307197571,0.7601890135853514,
11,0.7661580443382263,0.8631216911495908,40,,0.7654584050178528,0.7419354838709677,
10,0.7763350605964661,0.8785590197986057,40,,0.7539766430854797,0.7404910929224844,
9,0.9285471439361572,0.8349424183051825,40,,0.7307519316673279,0.7430596574128765,
8,0.9311378002166748,0.9562398913955003,40,0.907593531317673,0.7252681851387024,0.7288542291541692,0.7344827586206897
7,0.9262635707855225,0.8881584245479509,40,,0.7359617948532104,0.7308606752258678,
6,0.9071692824363708,0.8954846359013491,40,,0.7369353175163269,0.7303851640513552,
5,1.1236169338226318,0.9915995205957587,40,,0.6909090876579285,0.7216556688662268,
4,1.0344324111938477,0.9799940913731406,40,,0.7144582867622375,0.7142177841179268,
3,1.3012206554412842,1.1884216429876866,40,,0.6707080602645874,0.6856628674265147,
2,1.2506444454193115,1.2608297014672651,40,,0.6907716989517212,0.6807896003851709,
1,1.354306697845459,1.2791228894291724,40,,0.6507329344749451,0.6774955699940933,
