step,train_loss,valid_loss,total_steps,full_valid_loss,train_mean_token_accuracy,valid_mean_token_accuracy,full_valid_mean_token_accuracy
27,0.38572385907173157,0.7911736585224943,27,0.7911736585224943,0.8710247278213501,0.77130476649013,0.77130476649013
26,0.553425669670105,0.7937880081228184,27,,0.8196721076965332,0.7669715936446798,
25,0.5281745791435242,0.7941201485058523,27,,0.8295081853866577,0.7688974482426577,
24,0.47268736362457275,0.7972551087777547,27,,0.8410565257072449,0.7688974482426577,
23,0.535548210144043,0.7948861799391634,27,,0.8224254250526428,0.7664901299951854,
22,0.486159086227417,0.7968251720092362,27,,0.8419526219367981,0.7650457390467019,
21,0.5297223925590515,0.7979410719745252,27,,0.8278370499610901,0.7640828117477131,
20,0.6014263033866882,0.8028987715550783,27,,0.8047337532043457,0.7660086663456909,
19,0.46623358130455017,0.8064777657109841,27,,0.8393731713294983,0.7655272026961965,
18,0.6751956939697266,0.8126746027528178,27,0.8126746027528178,0.7847251296043396,0.7636013480982186,0.7636013480982186
17,0.6385470628738403,0.8164758971521472,27,,0.7937616109848022,0.7602311025517573,
16,0.6917101740837097,0.8280868126213062,27,,0.7904980182647705,0.7554164660568127,
15,0.6266883015632629,0.8322853461216434,27,,0.8155067563056946,0.7539720751083293,
14,0.6544999480247498,0.834434489992644,27,,0.7894456386566162,0.7568608570052962,
13,0.569596529006958,0.8417515697304767,27,,0.8115429878234863,0.7611940298507462,
12,0.6939594745635986,0.8427366432112803,27,,0.7768868207931519,0.7549350024073183,
11,0.6474403142929077,0.8500106960291121,27,,0.7882698178291321,0.7563793933558016,
10,0.7369992136955261,0.8555157458948641,27,,0.7702237367630005,0.7544535387578238,
9,0.826879620552063,0.8741461423709522,27,0.8741461423709522,0.7517389059066772,0.7433798748194511,0.7433798748194511
8,0.8814231753349304,0.9043806009012515,27,,0.75,0.7332691381800674,
7,0.8567525744438171,0.9531322813516175,27,,0.7514362335205078,0.7284545016851228,
6,0.9050264954566956,0.9959186697212847,27,,0.7352480292320251,0.7231584015406837,
5,0.9651185870170593,0.992391125307556,27,,0.7252604365348816,0.7202696196437169,
4,1.016095757484436,0.9755415294281726,27,,0.7133443355560303,0.7149735194992778,
3,1.2568501234054565,1.0421066008683977,27,,0.6597363352775574,0.7077515647568609,
2,1.3165327310562134,1.2000417759858133,27,,0.6799787282943726,0.6894559460760713,
1,1.4031838178634644,1.2984412059682922,27,,0.6536127924919128,0.6750120365912373,
